line_id,station_code,name,lat,lon
618,306389,,,
618,304402,,,
632,306499,,,
632,306395,,,
632,306394,,,
632,305170,,,
632,306396,,,
1197,309543,,,
1197,309544,,,
1776,307063,,,
1776,307136,,,
1807,674986,,,
1807,674987,,,
1807,674988,,,
1807,674979,,,
1807,674980,,,
1807,674985,,,
1807,674981,,,
1808,677836,,,
1808,675002,,,
1808,674876,,,
1808,674878,,,
1808,674879,,,
1808,675001,,,
1808,674880,,,
1808,674881,,,
1808,675073,,,
1820,306379,,,
1820,306382,,,
1820,306381,,,
1820,306380,,,
1820,306378,,,
1820,306377,,,
1820,305597,,,
1820,307136,,,
1848,674843,,,
1848,674845,,,
1848,674846,,,
1848,674847,,,
1848,674844,,,
